,label
435,sadness
436,other
437,worry
438,love
439,love
440,worry
441,sadness
442,sadness
443,sadness
444,other
445,other
446,worry
447,other
448,worry
449,other
450,other
451,worry
452,other
453,other
454,worry
455,happiness
456,other
457,worry
458,worry
459,sadness
460,worry
461,sadness
462,love
463,other
464,other
465,sadness
466,sadness
467,other
468,sadness
469,sadness
470,worry
471,other
472,sadness
473,sadness
474,worry
475,sadness
476,worry
477,worry
478,worry
479,other
480,sadness
481,worry
482,worry
483,worry
484,worry
485,worry
486,worry
487,other
488,sadness
489,other
490,other
491,love
492,other
493,sadness
494,other
495,other
496,worry
497,other
498,sadness
499,sadness
500,other
501,sadness
502,worry
503,other
504,sadness
505,other
506,sadness
507,other
508,happiness
509,other
510,other
511,worry
512,other
513,other
514,worry
515,worry
516,sadness
517,other
518,happiness
519,sadness
520,other
521,worry
522,worry
523,sadness
524,other
525,happiness
526,other
527,other
528,worry
529,worry
530,sadness
531,other
532,sadness
533,sadness
534,other
535,other
536,sadness
537,other
538,sadness
539,other
540,sadness
541,sadness
542,other
543,happiness
544,other
545,other
546,worry
547,worry
548,other
549,sadness
550,other
551,sadness
552,other
553,other
554,other
555,other
556,worry
557,sadness
558,other
559,worry
560,other
561,other
562,other
563,worry
564,sadness
565,sadness
566,worry
567,worry
568,worry
569,worry
570,other
571,worry
572,worry
573,other
574,sadness
575,worry
576,sadness
577,other
578,happiness
579,sadness
580,worry
581,worry
582,sadness
583,other
584,worry
585,other
586,worry
587,sadness
588,happiness
589,worry
590,worry
591,other
592,other
593,other
594,other
595,sadness
596,other
597,other
598,sadness
599,worry
600,sadness
601,other
602,other
603,sadness
604,sadness
605,other
606,other
607,sadness
608,worry
609,sadness
610,worry
611,worry
612,other
613,other
614,other
615,sadness
616,other
617,other
618,worry
619,love
620,worry
621,other
622,other
623,other
624,happiness
625,worry
626,other
627,other
628,worry
629,happiness
630,sadness
631,other
632,worry
633,worry
634,sadness
635,other
636,worry
637,sadness
638,worry
639,other
640,other
641,worry
642,other
643,worry
644,worry
645,sadness
646,other
647,other
648,other
649,other
650,other
651,love
652,other
653,sadness
654,sadness
655,other
656,sadness
657,sadness
658,other
660,love
661,other
662,worry
663,sadness
665,other
666,worry
667,sadness
668,sadness
669,worry
670,worry
671,sadness
672,worry
673,other
674,other
675,worry
676,sadness
677,happiness
678,sadness
679,other
680,worry
681,other
682,love
683,worry
684,worry
685,other
686,other
687,other
688,sadness
689,worry
690,worry
691,other
692,sadness
693,worry
694,worry
695,other
696,love
697,other
698,happiness
699,sadness
700,sadness
701,other
702,love
703,worry
704,other
705,happiness
706,other
707,other
708,sadness
709,sadness
710,other
711,sadness
712,happiness
713,worry
714,worry
715,worry
716,worry
717,worry
718,other
719,other
720,other
721,other
722,other
723,worry
724,other
725,sadness
726,other
727,other
728,sadness
729,sadness
730,worry
731,worry
732,love
733,other
734,sadness
735,sadness
736,other
737,worry
738,worry
739,other
740,sadness
741,other
742,other
743,worry
744,other
745,other
746,worry
747,sadness
748,other
749,other
750,sadness
751,worry
752,sadness
753,worry
754,sadness
755,worry
756,worry
757,worry
758,sadness
759,other
760,sadness
761,worry
762,other
763,other
764,worry
765,other
766,sadness
767,sadness
768,sadness
769,sadness
770,worry
771,other
772,other
773,sadness
774,worry
775,worry
776,other
777,other
778,other
779,other
780,other
781,sadness
782,other
783,sadness
784,love
785,worry
786,sadness
787,other
788,worry
789,worry
790,sadness
791,sadness
792,worry
793,other
794,other
795,love
796,other
797,worry
798,other
799,other
800,love
801,other
802,worry
803,happiness
804,worry
805,other
806,worry
807,worry
808,other
809,other
810,worry
811,sadness
812,sadness
813,sadness
814,worry
815,other
816,other
817,worry
818,sadness
819,other
820,worry
821,worry
822,sadness
823,worry
824,other
825,worry
826,worry
827,worry
828,sadness
829,worry
830,worry
831,worry
832,worry
833,worry
834,other
835,other
836,other
837,other
838,sadness
839,worry
840,worry
841,other
842,other
843,other
844,worry
845,other
846,worry
847,worry
848,other
849,sadness
850,worry
851,worry
852,other
853,sadness
854,sadness
855,sadness
856,other
857,sadness
858,other
859,other
860,other
861,worry
862,worry
863,love
864,sadness
865,worry
866,other
867,worry
868,other
869,other
870,other
871,worry
872,other
873,other
874,sadness
875,other
876,other
877,love
878,other
879,love
880,other
881,sadness
882,worry
883,other
884,sadness
885,other
886,worry
887,other
888,worry
889,sadness
890,worry
891,worry
892,other
893,sadness
894,other
895,sadness
896,other
897,sadness
898,other
899,sadness
900,worry
901,sadness
902,worry
903,other
904,other
905,other
906,worry
907,worry
908,other
909,other
910,other
911,other
912,sadness
913,other
914,other
915,worry
916,sadness
917,sadness
918,sadness
919,other
920,other
921,sadness
922,other
923,sadness
924,other
925,worry
926,sadness
927,sadness
928,sadness
929,love
930,sadness
931,other
932,happiness
933,other
934,worry
935,worry
936,other
937,other
938,other
939,other
940,worry
941,other
942,sadness
943,love
944,other
945,sadness
946,worry
947,other
948,sadness
949,worry
950,worry
951,sadness
952,sadness
953,sadness
954,worry
955,worry
956,worry
957,other
958,other
959,sadness
960,other
961,worry
962,worry
963,worry
964,worry
965,worry
966,worry
967,sadness
968,other
969,sadness
970,other
971,other
972,worry
973,sadness
974,love
975,worry
976,sadness
977,other
978,sadness
979,worry
980,sadness
981,love
982,sadness
983,other
984,happiness
985,worry
986,worry
987,sadness
988,worry
989,other
990,worry
991,worry
992,worry
993,worry
994,sadness
995,worry
996,other
997,other
998,other
999,other
1000,worry
1001,other
1002,worry
1003,happiness
1004,worry
1005,sadness
1006,other
1007,sadness
1008,sadness
1009,other
1010,sadness
1011,happiness
1012,other
1013,other
1014,other
1015,sadness
1016,love
1017,other
1018,other
1019,worry
1020,sadness
1021,sadness
1022,worry
1023,sadness
1024,other
1025,other
1026,other
1027,worry
1028,other
1029,worry
1030,sadness
1031,worry
1032,sadness
1033,happiness
1034,other
1035,other
1036,worry
1037,other
1038,worry
1039,worry
1040,other
1041,worry
1042,other
1043,worry
1044,happiness
1045,other
1046,worry
1047,sadness
1048,worry
1049,worry
1050,worry
1051,worry
1052,sadness
1053,worry
1054,worry
1055,other
1056,other
1057,sadness
1058,sadness
1059,other
1060,worry
1061,other
1062,other
1063,love
1064,love
1065,other
1066,other
1067,sadness
1068,other
1069,other
1070,other
1071,worry
1072,worry
1073,sadness
1074,other
1075,worry
1076,worry
1077,happiness
1078,other
1079,worry
1080,other
1081,worry
1082,worry
1083,happiness
1084,other
1085,other
1086,other
1087,happiness
1088,sadness
1089,worry
1090,other
1091,worry
1092,worry
1093,sadness
1094,other
1095,other
1096,sadness
1097,other
1098,sadness
1099,sadness
1100,sadness
1101,other
1102,other
1103,worry
1104,other
1105,other
1106,other
1107,worry
1108,other
1109,worry
1110,other
1111,other
1112,sadness
1113,worry
1114,sadness
1115,worry
1116,other
1117,worry
1118,love
1119,worry
1120,worry
1121,worry
1122,worry
1123,sadness
1124,worry
1125,happiness
1126,worry
1127,other
1128,sadness
1129,sadness
1130,other
1131,sadness
1132,other
1133,sadness
1134,other
1135,worry
1136,worry
1137,other
1138,other
1139,worry
1140,other
1141,other
1142,sadness
1143,other
1144,other
1145,worry
1146,other
1147,worry
1148,other
1149,other
1150,sadness
1151,other
1152,sadness
1153,worry
1154,worry
1155,other
1156,love
1157,other
1158,worry
1159,other
1160,love
1161,worry
1162,other
1163,worry
1164,other
1165,other
1166,other
1167,love
1168,other
1169,other
1170,other
1171,worry
1172,sadness
1173,other
1174,other
1175,sadness
1176,other
1177,other
1178,other
1179,sadness
1180,other
1181,worry
1182,other
1183,other
1184,other
1185,worry
1186,love
1187,worry
1188,other
1189,sadness
1190,sadness
1191,other
1192,worry
1193,sadness
1194,sadness
1195,worry
1196,other
1197,worry
1198,worry
1199,other
1200,other
1201,other
1202,other
1203,worry
1204,other
1205,sadness
1206,other
1207,worry
1208,sadness
1209,love
1210,love
1211,other
1212,worry
1213,other
1214,other
1215,worry
1216,worry
1217,worry
1218,other
1219,other
1220,other
1221,other
1222,worry
1223,other
1224,other
1225,sadness
1226,worry
1227,worry
1228,worry
1229,love
1230,sadness
1231,other
1232,worry
1233,sadness
1234,other
1235,worry
1236,worry
1237,other
1238,other
1239,worry
1240,sadness
1241,other
1242,other
1243,other
1244,worry
1245,worry
1246,other
1247,other
1248,other
1249,other
1250,worry
1251,other
1252,worry
1253,sadness
1254,worry
1255,worry
1256,other
1257,worry
1258,other
1259,worry
1260,worry
1261,happiness
1262,worry
1263,sadness
1264,love
1265,worry
1266,happiness
1267,sadness
1268,other
1269,sadness
1270,worry
1271,sadness
1272,sadness
1273,sadness
1274,worry
1275,sadness
1276,happiness
1277,sadness
1278,worry
1279,other
1280,other
1281,other
1282,other
1283,love
1284,worry
1285,worry
1286,sadness
1287,worry
1288,sadness
1289,other
1290,sadness
1291,other
1292,other
1293,worry
1294,sadness
1295,sadness
1296,worry
1297,worry
1298,other
1299,sadness
1300,worry
1301,sadness
1302,other
1303,worry
1304,other
1305,other
1306,worry
1307,other
1308,other
1309,sadness
1310,sadness
1311,sadness
1312,worry
1313,other
1314,other
1315,love
1316,love
1317,other
1318,other
1319,worry
1320,sadness
1321,other
1322,worry
1323,other
1324,happiness
1325,sadness
1326,other
1327,sadness
1328,sadness
1329,other
1330,worry
1331,worry
1332,other
1333,sadness
1334,worry
1335,worry
1336,happiness
1337,other
1338,sadness
1339,worry
1340,worry
1341,worry
1342,other
1343,sadness
1344,sadness
1345,sadness
1346,other
1347,sadness
1348,other
1349,worry
1350,other
1351,sadness
1352,other
1353,other
1354,worry
1355,worry
1356,happiness
1357,love
1358,sadness
1359,sadness
1360,other
1361,worry
1362,other
1363,other
1364,sadness
1365,other
1366,other
1367,other
1368,worry
1369,sadness
1370,other
1371,other
1372,worry
1373,sadness
1374,sadness
1375,worry
1376,worry
1377,other
1378,sadness
1379,worry
1380,sadness
1381,other
1382,sadness
1383,other
1384,other
1385,worry
1386,other
1387,other
1388,worry
1389,worry
1390,other
1391,worry
1392,worry
1393,other
1394,sadness
1395,worry
1396,worry
1397,other
1398,other
1399,sadness
1400,sadness
1401,other
1402,sadness
1403,worry
1404,worry
1405,love
1406,sadness
1407,other
1408,worry
1409,sadness
1410,other
1411,worry
1412,love
1413,sadness
1414,worry
1415,worry
1416,other
1417,other
1418,worry
1419,other
1420,worry
1421,other
1422,other
1423,sadness
1424,love
1425,worry
1426,other
1427,worry
1428,other
1429,worry
1430,happiness
1431,worry
1432,worry
1433,other
1434,other
1435,other
1436,sadness
1437,other
1438,sadness
1439,worry
1440,sadness
1441,sadness
1442,other
1443,other
1444,worry
1445,other
1446,love
1447,other
1448,other
1449,sadness
1450,love
1451,worry
1452,worry
1453,sadness
1454,worry
1455,sadness
1456,sadness
1457,other
1458,sadness
1459,other
1460,happiness
1461,sadness
1462,other
1463,worry
1464,other
1465,sadness
1466,happiness
1467,other
1468,other
1469,sadness
1470,worry
1471,worry
1472,other
1473,other
1474,sadness
1475,sadness
1476,other
1477,other
1478,worry
1479,sadness
1480,other
1481,worry
1482,sadness
1483,other
1484,worry
1485,other
1486,other
1487,worry
1488,worry
1489,other
1490,other
1491,other
1492,worry
1493,worry
1494,happiness
1495,happiness
1496,other
1497,other
1498,other
1499,other
1500,other
1501,worry
1502,worry
1503,other
1504,sadness
1505,other
1506,other
1507,other
1508,worry
1509,love
1510,other
1511,sadness
1512,worry
1513,worry
1514,other
1515,worry
1516,other
1517,sadness
1518,other
1519,sadness
1520,other
1521,other
1522,worry
1523,sadness
1524,worry
1525,other
1526,happiness
1527,other
1528,worry
1529,sadness
1530,sadness
1531,sadness
1532,other
1533,sadness
1534,worry
1535,other
1536,sadness
1537,worry
1538,other
1539,sadness
1540,sadness
1541,sadness
1542,sadness
1543,worry
1544,other
1545,worry
1546,other
1547,other
1548,other
1549,worry
1550,sadness
1551,other
1552,worry
1553,other
1554,other
1555,other
1556,worry
1557,love
1558,worry
1559,worry
1560,worry
1561,other
1562,happiness
1563,other
1564,worry
1565,worry
1566,worry
1567,other
1568,sadness
1569,worry
1570,other
1571,other
1572,worry
1573,other
1574,sadness
1575,other
1576,other
1577,other
1578,sadness
1579,worry
1580,sadness
1581,other
1582,other
1583,sadness
1584,worry
1585,other
1586,other
1587,love
1588,worry
1589,worry
1590,other
1591,other
1592,other
1593,other
1594,sadness
1595,sadness
1596,other
1597,sadness
1598,sadness
1599,worry
1600,worry
1601,sadness
1602,worry
1603,other
1604,worry
1605,other
1606,other
1607,worry
1608,happiness
1609,other
1610,other
1611,sadness
1612,sadness
1613,other
1614,sadness
1615,worry
1616,sadness
1617,worry
1618,sadness
1619,other
1620,sadness
1621,other
1622,other
1623,worry
1624,worry
1625,love
1626,worry
1627,other
1628,worry
1629,other
1630,happiness
1631,other
1632,worry
1633,worry
1634,sadness
1635,sadness
1636,happiness
1637,happiness
1638,worry
1639,worry
1640,happiness
1641,other
1642,worry
1643,sadness
1644,other
1645,worry
1646,worry
1647,worry
1648,sadness
1649,sadness
1650,sadness
1651,worry
1652,other
1653,other
1654,other
1655,worry
1656,worry
1657,other
1658,sadness
1659,other
1660,other
1661,other
1662,worry
1663,worry
1664,worry
1665,other
1666,worry
1667,sadness
1668,other
1669,worry
1670,other
1671,sadness
1672,sadness
1673,other
1674,sadness
1675,worry
1676,sadness
1677,worry
1678,other
1679,other
1680,other
1681,sadness
1682,sadness
1683,other
1684,other
1685,worry
1686,worry
1687,other
1688,other
1689,other
1690,sadness
1691,worry
1692,sadness
1693,sadness
1694,sadness
1695,worry
1696,happiness
1697,sadness
1698,worry
1699,worry
1700,sadness
1701,other
1702,worry
1703,worry
1704,other
1705,other
1706,worry
1707,worry
1708,other
1709,worry
1710,other
1711,other
1712,other
1713,worry
1714,other
1715,other
1716,other
1717,worry
1718,worry
1719,sadness
1720,worry
1721,other
1722,worry
1723,other
1724,worry
1725,sadness
1726,other
1727,worry
1728,other
1729,other
1730,other
1731,sadness
1732,other
1733,sadness
1734,worry
1735,happiness
1736,worry
1737,other
1738,other
1739,love
1740,happiness
1741,worry
1742,other
1743,worry
1744,worry
1745,worry
1746,other
1747,worry
1748,sadness
1749,worry
1750,sadness
1751,worry
1752,other
1753,other
1754,worry
1755,worry
1756,other
1757,other
1758,other
1759,other
1760,love
1761,other
1762,sadness
1763,other
1764,other
1765,other
1766,other
1767,sadness
1768,worry
1769,worry
1770,worry
1771,worry
1772,love
1773,other
1774,worry
1775,love
1776,other
1777,worry
1778,sadness
1779,other
1780,sadness
1781,love
1782,other
1783,other
1784,other
1785,other
1786,other
1787,worry
1788,other
1789,other
1790,other
1791,other
1792,sadness
1793,sadness
1794,other
1795,worry
1796,sadness
1797,sadness
1798,worry
1799,other
1800,sadness
1801,sadness
1802,worry
1803,worry
1804,other
1805,worry
1806,worry
1807,other
1808,sadness
1809,sadness
1810,worry
1811,other
1812,worry
1813,other
1814,other
1815,worry
1816,other
1817,other
1818,other
1819,worry
1820,other
1821,other
1822,worry
1823,worry
1824,worry
1825,worry
1826,worry
1827,worry
1828,sadness
1829,worry
1830,other
1831,worry
1832,other
1833,other
1834,worry
1835,love
1836,other
1837,other
1838,other
1839,worry
1840,other
1841,sadness
1842,other
1843,other
1844,other
1845,other
1846,sadness
1847,worry
1848,happiness
1849,other
1850,other
1851,sadness
1852,sadness
1853,worry
1854,happiness
1855,sadness
1856,worry
1857,other
1858,other
1859,sadness
1860,other
1861,other
1862,worry
1863,other
1864,sadness
1865,other
1866,other
1867,worry
1868,sadness
1869,worry
1870,sadness
1871,worry
1872,other
1873,other
1874,other
1875,other
1876,other
1877,other
1878,worry
1879,other
1880,other
1881,other
1882,happiness
1883,worry
1884,happiness
1885,worry
1886,other
1887,worry
1888,other
1889,sadness
1890,other
1891,other
1892,other
1893,other
1894,other
1895,worry
1896,worry
1897,worry
1898,worry
1899,other
1900,worry
1901,sadness
1902,worry
1903,other
1904,other
1905,sadness
1906,other
1907,other
1908,sadness
1909,worry
1910,worry
1911,other
1912,worry
1913,love
1914,worry
1915,other
1916,worry
1917,other
1918,other
1919,other
1920,sadness
1921,worry
1922,other
1923,other
1924,worry
1925,sadness
1926,worry
1927,worry
1928,other
1929,worry
1930,worry
1931,worry
1932,other
1933,worry
1934,other
1935,sadness
1936,other
1937,worry
1938,sadness
1939,worry
1940,worry
1941,other
1942,other
1943,sadness
1944,worry
1945,sadness
1946,worry
1947,other
1948,happiness
1949,other
1950,love
1951,sadness
1952,other
1953,worry
1954,sadness
1955,other
1956,sadness
1957,worry
1958,other
1959,other
1960,other
1961,sadness
1962,worry
1963,other
1964,other
1965,sadness
1966,worry
1967,worry
1968,sadness
1969,other
1970,worry
1971,worry
1972,worry
1973,worry
1974,sadness
1975,love
1976,other
1977,worry
1978,love
1979,other
1980,other
1981,worry
1982,other
1983,worry
1984,sadness
1985,other
1986,worry
1987,worry
1988,happiness
1989,worry
1990,worry
1991,worry
1992,worry
1993,other
1994,worry
1995,other
1996,other
1997,other
1998,sadness
1999,other
2000,sadness
2001,worry
2002,other
2003,worry
2004,worry
2005,other
2006,other
2007,sadness
2008,worry
2009,sadness
2010,worry
2011,sadness
2012,sadness
2013,sadness
2014,sadness
2015,happiness
2016,other
2017,other
2018,love
2019,worry
2020,worry
2021,happiness
2022,sadness
2023,worry
2024,worry
2025,other
2026,worry
2027,worry
2028,other
2029,sadness
2030,worry
2031,worry
2032,worry
2033,sadness
2034,worry
2035,other
2036,other
2037,other
2038,other
2039,worry
2040,sadness
2041,worry
2042,worry
2043,love
2044,sadness
2045,sadness
2046,other
2047,worry
2048,worry
2049,sadness
2050,worry
2051,sadness
2052,love
2053,other
2054,sadness
2055,other
2056,other
2057,worry
2058,other
2059,worry
2060,sadness
2061,worry
2062,worry
2063,sadness
2064,love
2065,happiness
2066,worry
2067,other
2068,worry
2069,other
2070,sadness
2071,worry
2072,other
2073,worry
2074,worry
2075,other
2076,other
2077,sadness
2078,love
2079,other
2080,other
2081,worry
2082,worry
2083,sadness
2084,other
2085,love
2086,worry
2087,happiness
2088,other
2089,other
2090,other
2091,sadness
2092,other
2093,other
2094,other
2095,worry
2096,happiness
2097,worry
2098,sadness
2099,worry
2100,worry
2101,sadness
2102,other
2103,sadness
2104,worry
2105,worry
2106,sadness
2107,sadness
2108,worry
2109,other
2110,sadness
2111,worry
2112,worry
2113,sadness
2114,sadness
2115,other
2116,other
2117,worry
2118,other
2119,sadness
2120,worry
2121,happiness
2122,worry
2123,worry
2124,sadness
2125,happiness
2126,worry
2127,happiness
2128,sadness
2129,worry
2130,sadness
2131,sadness
2132,worry
2133,sadness
2134,worry
2135,other
2136,other
2137,worry
2138,other
2139,other
2140,worry
2141,worry
2142,other
2143,worry
2144,other
2145,other
2146,other
2147,sadness
2148,other
2149,sadness
2150,other
2151,sadness
2152,other
2153,worry
2154,love
2155,worry
2156,worry
2157,other
2158,sadness
2159,happiness
2160,other
2161,sadness
2162,worry
2163,other
2164,other
2165,love
2166,sadness
2167,other
2168,sadness
2169,other
2170,other
2171,other
2172,sadness
2173,worry
2174,worry
2175,other
2176,worry
2177,worry
2178,other
2179,sadness
2180,other
2181,other
2182,other
2183,worry
2184,sadness
2185,other
2186,sadness
2187,worry
2188,worry
2189,sadness
2190,happiness
2191,other
2192,worry
2193,other
2194,other
2195,happiness
2196,other
2197,sadness
2198,other
2199,sadness
2200,worry
2201,other
2202,sadness
2203,sadness
2204,worry
2205,worry
2206,other
2207,sadness
2208,worry
2209,other
2210,sadness
2211,sadness
2212,other
2213,other
2214,other
2215,other
2216,worry
2217,other
2218,happiness
2219,sadness
2220,worry
2221,other
2222,other
2223,sadness
2224,happiness
2225,other
2226,other
2227,other
2228,worry
2229,worry
2230,worry
2231,sadness
2232,other
2233,worry
2234,sadness
2235,other
2236,sadness
2237,other
2238,other
2239,sadness
2240,other
2241,sadness
2242,sadness
2243,other
2244,sadness
2245,worry
2246,other
2247,other
2248,other
2249,other
2250,love
2251,sadness
2252,love
2253,other
2254,other
2255,happiness
2256,worry
2257,other
2258,other
2259,love
2260,other
2261,other
2262,other
2263,worry
2264,other
2265,worry
2266,sadness
2267,other
2268,other
2269,other
2270,other
2271,sadness
2272,worry
2273,happiness
2274,love
2275,worry
2276,worry
2277,sadness
2278,other
2279,worry
2280,worry
2281,other
2282,sadness
2283,other
2284,sadness
2285,other
2286,worry
2287,worry
2288,happiness
2289,sadness
2290,worry
2291,worry
2292,other
2293,sadness
2294,other
2295,other
2296,sadness
2297,worry
2298,other
2299,sadness
2300,other
2301,worry
2302,other
2303,worry
2304,other
2305,worry
2306,other
2307,other
2308,worry
2309,worry
2310,happiness
2311,other
2312,other
2313,other
2314,worry
2315,sadness
2316,other
2317,sadness
2318,worry
2319,other
2320,worry
2321,other
2322,other
2323,other
2324,worry
2325,other
2326,worry
2327,sadness
2328,other
2329,worry
2330,worry
2331,other
2332,worry
2333,worry
2334,other
2335,other
2336,love
2337,other
2338,other
2339,sadness
2340,worry
2341,other
2342,sadness
2343,worry
2344,worry
2345,sadness
2346,love
2347,happiness
2348,worry
2349,other
2350,happiness
2351,other
2352,other
2353,worry
2354,other
2355,worry
2356,other
2357,other
2358,worry
2359,worry
2360,sadness
2361,other
2362,worry
2363,other
2364,other
2365,sadness
2366,love
2367,worry
2368,other
2369,sadness
2370,sadness
2371,worry
2372,sadness
2373,other
2374,worry
2375,other
2376,love
2377,other
2378,worry
2379,other
2380,worry
2381,worry
2382,worry
2383,sadness
2384,worry
2385,sadness
2386,worry
2387,worry
2388,other
2389,other
2390,other
2391,worry
2392,happiness
2393,worry
2394,sadness
2395,worry
2396,sadness
2397,worry
2398,worry
2399,sadness
2400,worry
2401,other
2402,other
2403,love
2404,sadness
2405,love
2406,sadness
2407,other
2408,worry
2409,worry
2410,other
2411,love
2412,other
2413,worry
2414,worry
2415,love
2416,other
2417,worry
2418,other
2419,other
2420,other
2421,sadness
2422,sadness
2423,sadness
2424,sadness
2425,sadness
2426,other
2427,sadness
2428,worry
2429,worry
2430,worry
2431,other
2432,other
2433,other
2434,worry
2435,love
2436,sadness
2437,other
2438,sadness
2439,sadness
2440,love
2441,other
2442,sadness
2443,other
2444,sadness
2445,other
2446,sadness
2447,sadness
2448,other
2449,worry
2450,other
2451,other
2452,other
2453,worry
2454,sadness
2455,sadness
2456,other
2457,love
2458,worry
2459,worry
2460,sadness
2461,worry
2462,sadness
2463,other
2464,other
2465,other
2466,other
2467,worry
2468,worry
2469,worry
2470,worry
2471,love
2472,worry
2473,other
2474,happiness
2475,other
2476,sadness
2477,sadness
2478,worry
2479,other
2480,sadness
2481,worry
2482,other
2483,other
2484,worry
2485,sadness
2486,worry
2487,worry
2488,worry
2489,other
2490,other
2491,other
2492,sadness
2493,sadness
2494,happiness
2495,sadness
2496,worry
2497,sadness
2498,other
2499,other
2500,worry
2501,sadness
2502,worry
2503,sadness
2504,other
2505,other
2506,worry
2507,other
2508,other
2509,sadness
2510,other
2511,sadness
2512,sadness
2513,sadness
2514,sadness
2515,sadness
2516,worry
2517,happiness
2518,other
2519,other
2520,sadness
2521,other
2522,sadness
2523,love
2524,worry
2525,other
2526,worry
2527,sadness
2528,worry
2529,worry
2530,sadness
2531,sadness
2532,sadness
2533,worry
2534,worry
2535,other
2536,worry
2537,sadness
2538,worry
2539,sadness
2540,other
2541,other
2542,other
2543,worry
2544,worry
2545,sadness
2546,other
2547,sadness
2548,other
2549,other
2550,sadness
2551,other
2552,worry
2553,worry
2554,worry
2555,other
2556,sadness
2557,worry
2558,sadness
2559,worry
2560,sadness
2561,sadness
2562,other
2563,other
2564,sadness
2565,worry
2566,worry
2567,other
2568,worry
2569,worry
2570,other
2571,other
